"Дата","Цена","Минимальная Цена","Максимальная Цена","Количество сделок"
"07.03.2023","184.50","180.80","186.90","10,977"
"06.03.2023","181.30","177.60","183.70","7,490"
"03.03.2023","179.70","178.30","180.90","5,016"
"02.03.2023","178.80","176.20","183.30","5,921"
"01.03.2023","181.40","179.10","183.70","5,186"
"28.02.2023","179.10","178.00","181.40","3,720"
"27.02.2023","178.70","174.60","181.40","6,558"
"24.02.2023","176.10","174.70","177.60","2,032"
"22.02.2023","175.40","174.40","177.80","2,206"
"21.02.2023","176.30","173.50","180.00","4,309"
"20.02.2023","172.10","170.10","174.50","3,403"
"17.02.2023","171.00","167.20","173.40","4,926"
"16.02.2023","173.80","172.00","177.00","5,515"
"15.02.2023","176.30","172.00","182.30","8,710"
"14.02.2023","183.10","181.00","187.70","7,128"
"13.02.2023","188.10","186.00","190.90","3,930"
"10.02.2023","186.60","185.20","188.70","3,348"
"09.02.2023","188.60","185.30","191.00","6,840"
"08.02.2023","186.60","180.20","190.00","12,444"
"07.02.2023","181.60","180.00","183.40","3,275"
"06.02.2023","182.20","179.90","183.50","4,324"
"03.02.2023","180.00","178.20","183.20","4,316"
"02.02.2023","182.60","180.30","184.40","5,474"
"01.02.2023","181.80","177.50","184.80","11,095"
"31.01.2023","177.10","175.00","178.60","3,890"
"30.01.2023","176.30","175.10","177.50","2,931"
"27.01.2023","176.00","174.10","177.30","3,208"
"26.01.2023","175.10","174.00","177.00","2,486"
"25.01.2023","175.60","174.20","177.50","3,324"
"24.01.2023","178.30","176.40","181.10","5,378"
"23.01.2023","178.10","172.00","180.30","8,598"
"20.01.2023","173.00","172.10","174.60","3,064"
"19.01.2023","174.90","172.80","179.00","4,563"
"18.01.2023","178.40","171.60","183.70","11,310"
"17.01.2023","178.20","174.50","181.90","11,087"
"16.01.2023","173.60","169.40","176.80","6,375"
"13.01.2023","170.60","169.00","172.90","2,392"
"12.01.2023","172.00","169.90","174.00","3,587"
"11.01.2023","171.30","169.40","172.40","3,235"
"10.01.2023","169.60","168.10","171.20","2,257"
"09.01.2023","170.60","167.00","172.60","4,956"
"06.01.2023","167.60","166.00","170.30","3,805"
"05.01.2023","171.80","168.80","175.00","6,605"
"04.01.2023","170.40","164.50","174.20","7,550"
"03.01.2023","165.20","160.30","167.00","4,661"
